#;;;;;;;;;;;;;x;;;
demand_concession_casus_belli_jap;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_setup;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_short;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_desc;Take a state from China.;;;;;;;;;;;;;x
free_allied_cores;Free Allied Cores;Peuple libre;Freies Volk;;;;;;;;;;;
free_allied_cores_desc;Liberate cores belonging to an ÅòYallied countryÅòW in your sphere;Liberer un ÅòYpaysÅòW de ses oppresseurs;Befreien Sie ein ÅòYLandÅòW von seinen Unterdruckern.;;;;;;;;;;;
free_allied_cores_short;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
free_allied_cores_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ ?$RECIPIENT$ pour le rendre ?$THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zuruc
NORMAL_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
AGRESSION_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations_setup;Make your enemy pay reparations;;;;;;;;;;;;;x
demand_reparations_short;Make your enemy pay reparations;;;;;;;;;;;;;x
demand_reparations_desc;Force another country to pay reparations to us;;;;;;;;;;;;;x
conquest_tiny;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_setup;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_short;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_desc;Can use on nations with <200K population before 1860, <300k between 1860-1885, <400k between 1885-1910, <500k after 1910.;;;;;;;;;;;;;x
conquest_small;Minor Conquest;;;;;;;;;;;;;x
conquest_small_setup;Minor Conquest;;;;;;;;;;;;;x
conquest_small_short;Minor Conquest;;;;;;;;;;;;;x
conquest_small_desc;Can use on nations with <500K population before 1860, <600k between 1860-1885, <800k between 1885-1910, <1.2M after 1910. ;;;;;;;;;;;;;x
acquire_small_state;Acquire small state;;;;;;;;;;;;;x
acquire_small_state_setup;Acquire $STATE$;;;;;;;;;;;;;x
acquire_small_state_short;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_small_state_desc;Can use on states <200K population before 1860, <300k between 1860-1885, <400k between 1885-1910, <500k after 1910.;;;;;;;;;;;;;x
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;;x
negotiated_transfer_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;x
negotiated_transfer_short;$RECIPIENT$ receives $STATE$ from us;;;;;;;;;;;;;x
negotiated_transfer_setup;Transfer $STATE$ from our country to $RECIPIENT$;;;;;;;;;;;;x
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
demand_for_ally;Demand for ally;;;;;;;;;;;;;x
demand_for_ally_setup;Transfer $STATE$;;;;;;;;;;;;;x
demand_for_ally_short;Transfer $STATE$;;;;;;;;;;;;;x
demand_for_ally_desc;Demand a state for another nation.;;;;;;;;;;;;;x
mexican_american_war;Liberate all cores;;;;;;;;;;;;;;;;x
mexican_american_war_desc;Liberate your country from its oppressors;;;;;;;;;;;;;x
mexican_american_war_setup;Acquires all core territory;;;;;;;;;;;;;x
mexican_american_war_short;Acquires all core territory;;;;;;;;;;;;;x
acquire_all_cores;Liberate all cores;;;;;;;;;;;;;x
acquire_all_cores_desc;Liberate your country from its oppressors;;;;;;;;;;;;;x
acquire_all_cores_setup;Acquires all core territory;;;;;;;;;;;;;x
acquire_all_cores_short;Acquires all core territory;;;;;;;;;;;;;x
take_capital;Take Capital;;;;;;;;;;;;;x
take_capital_setup;Take capital;;;;;;;;;;;;;x
take_capital_short;Take capital of $RECIPIENT$;;;;;;;;;;;;;x
take_capital_desc;Take the capital state of a country;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_setup;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_short;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_desc;Annex an uncivilized nation with less than 150k POPs.;;;;;;;;;;;;;;;;;;;;x
lebensraum_cb;Lebensraum;;;;;;x,,,,,,,,
lebensraum_cb_desc;Completely annex a country in order to increase our population's living space;;;;;;x,,,,,,,,
lebensraum_cb_setup;Annex an entire nation. If achieved, our population's living space will vastly increase;;;;;;x,,,,,,,
lebensraum_cb_short;Lebensraum;;;;;;x,,,,,,,,
no_personality;ßW0 Defence ß!;;;;;;;;;;;;;;
attack_1.84;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.85;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.86;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.87;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.88;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.89;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.90;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.91;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.92;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.93;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.94;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.95;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.96;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.97;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.98;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.99;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.100;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.101;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.102;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.103;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.104;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.105;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.106;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.107;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.108;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.109;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.110;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.111;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.112;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.113;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.114;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.115;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.116;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.117;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.118;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.119;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.120;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.121;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.122;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.123;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.124;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.125;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.126;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.127;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.128;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.129;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.130;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.131;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.132;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.133;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.134;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.135;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.136;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.137;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.138;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.139;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.140;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.141;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.142;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.143;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.144;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.145;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.146;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.147;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.148;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.149;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.150;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.151;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.152;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.153;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.154;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.155;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.156;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.157;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.158;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.159;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.160;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.161;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.162;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.163;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.164;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.165;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.166;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.167;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.168;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.169;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.170;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.171;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.172;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.173;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.174;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.175;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.176;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.177;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.178;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.179;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.180;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.181;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.182;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.183;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.184;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.185;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.186;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.187;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.188;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.189;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.190;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.191;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.192;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.193;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.194;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.195;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.196;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.197;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.198;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.199;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.200;+1 Attack ß!;;;;;;;;;;;;;;
attack_2.1;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.2;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.3;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.4;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.5;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.6;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.7;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.8;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.9;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.10;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.11;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.12;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.13;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.14;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.15;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.16;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.17;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.18;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.19;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.20;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.21;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.22;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.23;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.24;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.25;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.26;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.27;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.28;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.29;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.30;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.31;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.32;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.33;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.34;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.35;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.36;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.37;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.38;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.39;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.40;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.41;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.42;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.43;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.44;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.45;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.46;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.47;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.48;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.49;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.50;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.51;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.52;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.53;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.54;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.55;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.56;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.57;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.58;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.59;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.60;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.61;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.62;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.63;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.64;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.65;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.66;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.67;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.68;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.69;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.70;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.71;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.72;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.73;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.74;ßB+2 Attack ß!;;;;;;;;;;;;;;
